Date,High,Low,Open,Close,Volume,Adj Close
2009-09-30,1063.4000244140625,1046.469970703125,1061.02001953125,1057.0799560546875,5998860000,1057.0799560546875
2009-10-01,1054.9100341796875,1029.449951171875,1054.9100341796875,1029.8499755859375,5791450000,1029.8499755859375
2009-10-02,1030.5999755859375,1019.9500122070312,1029.7099609375,1025.2099609375,5583240000,1025.2099609375
2009-10-05,1042.5799560546875,1025.9200439453125,1026.8699951171875,1040.4599609375,4313310000,1040.4599609375
2009-10-06,1060.550048828125,1042.02001953125,1042.02001953125,1054.719970703125,5029840000,1054.719970703125
2009-10-07,1058.02001953125,1050.0999755859375,1053.6500244140625,1057.5799560546875,4238220000,1057.5799560546875
2009-10-08,1070.6700439453125,1060.030029296875,1060.030029296875,1065.47998046875,4988400000,1065.47998046875
2009-10-09,1071.510009765625,1063.0,1065.280029296875,1071.489990234375,3763780000,1071.489990234375
2009-10-12,1079.4599609375,1071.6300048828125,1071.6300048828125,1076.18994140625,3710430000,1076.18994140625
2009-10-13,1075.300048828125,1066.7099609375,1074.9599609375,1073.18994140625,4320480000,1073.18994140625
2009-10-14,1093.1700439453125,1078.6800537109375,1078.6800537109375,1092.02001953125,5406420000,1092.02001953125
2009-10-15,1096.56005859375,1086.4100341796875,1090.3599853515625,1096.56005859375,5369780000,1096.56005859375
2009-10-16,1094.6700439453125,1081.530029296875,1094.6700439453125,1087.6800537109375,4894740000,1087.6800537109375
2009-10-19,1100.1700439453125,1086.47998046875,1088.219970703125,1097.9100341796875,4619240000,1097.9100341796875
2009-10-20,1098.6400146484375,1086.1600341796875,1098.6400146484375,1091.06005859375,5396930000,1091.06005859375
2009-10-21,1101.3599853515625,1080.77001953125,1090.3599853515625,1081.4000244140625,5616290000,1081.4000244140625
2009-10-22,1095.2099609375,1074.31005859375,1080.9599609375,1092.9100341796875,5192410000,1092.9100341796875
2009-10-23,1095.8299560546875,1075.489990234375,1095.6199951171875,1079.5999755859375,4767460000,1079.5999755859375
