Date,Open,High,Low,Close,Adj Close_1,Volume
"Feb 01, 2019 10:30:00",10.2,10.43,9.96,10.19,10.19,158019500
"Jan 31, 2019 8:30:00",9.94,10.77,9.76,10.16,10.16,348639500
"Jan 30, 2019 18:00:00",8.98,9.28,8.88,9.1,9.1,86434600
"Jan 29, 2019 1:40:00",8.9,9.13,8.65,8.9,8.9,114467700
"Jan 28, 2019 19:30:00",8.98,9,8.75,8.93,8.93,91635900
"Jan 25, 2019 10:30:00",8.85,9.21,8.84,9.16,9.16,112306600
"Jan 24, 2019 04:30:00",8.63,8.97,8.61,8.78,8.78,90331600
"Jan 23, 2019 11:30:00",8.69,8.84,8.61,8.73,8.73,72385900
